"Sample","PC1"
"25525",-0.0545235254149663
"25545",-0.0539024736162453
"25550",-0.0558538061364452
"25555",-0.0543719447959059
"25560",-0.0541370780634485
"25562",-0.0601790745509566
"25572",-0.0503443523337188
"25575",-0.0539918032228566
"25586",-0.0563177141234845
"25587",-0.0533189152606775
"25598",-0.05182699106942
"25606",-0.0527307900929359
"25620",-0.0523979764311364
"25622",-0.0520515162161852
"25646",-0.053565889475616
"25649",-0.0593876607808757
"25653",-0.0511151528837134
"25663",-0.0528554331489865
"25664",-0.053846695373871
"25666",-0.0523166278287683
"25671",-0.0527700303504069
"25676",-0.0556513725071797
"25679",-0.0535314219929365
"326",0.0821039141288934
"328",0.0951153815441771
"334",0.091697621684457
"335",0.0873437836887467
"343",0.102380363011726
"3873",-0.0429253597160827
"3898",-0.052064044621699
"40410",0.0901727762403352
"40412",0.100070397929052
"40510",0.097777990624015
"40514",0.0917285652598949
"40532-R",0.0942763175510893
"40566-R",0.0936988827587278
"40577-R",0.100634176072621
"40579",0.103759797015453
"50139-R",-0.0586329804609533
"50165-R",-0.053413090999072
"50173-R",-0.0537335722083095
"50190",-0.0594222856005763
"50210",-0.0602047652508074
"51650",0.10086804621864
"51661",0.0994553542695219
"51662",0.0971008269954319
"51665",0.0950290556393881
"51670",0.0947568030942279
"51801",0.095571223332884
"51803",0.0996255778790501
"51804",0.103797275625083
"51815",0.0905203827445709
"51821",0.0942671586619961
"51842",0.099419855660679
"51843",0.104117098765017
"51855",0.0970441233114303
"51864",0.0922855262897212
"51867",0.0973362845208919
"51888",0.101872532367795
"51890",0.0936594778686549
"54319-BU",-0.0538956395754613
"54320",-0.0529582764672312
"54322",-0.0583098976953657
"54341",-0.0546538220416725
"54344",-0.0500643009735395
"54346",-0.0550453962271993
"54348",-0.0525300743724227
"54351",-0.0531797964256943
"54353",-0.054845320828305
"54363",-0.052451400287118
"54364",-0.0530674846449978
"54366",-0.0576380733255629
"54371",-0.0552880642501866
"54390",-0.0522140795557382
"54401",-0.0554804395189236
"54403",-0.0528612280449348
"54404-BU",-0.0576565099670448
"54420",-0.0545658811681175
"54423",-0.0531158867091125
"54427",-0.0505158291626244
"54428",-0.0626535093041484
"54432",-0.052071883307019
"54433",-0.0543472217542669
"54464",-0.0519238426932912
"54469",-0.0573509207962962
"5602",-0.0538075085887888
"5605",-0.057330891540248
"5606",-0.0544184682993582
"5630",-0.061373998793975
"5643",-0.0501044018099988
"5662",-0.0566237304337517
"5664",-0.0524884340950315
"5675",-0.0566030621754262
"5677",-0.0557521970729668
"5679",-0.0567858950767859
"5690",-0.0543427325540498
"5706",-0.0550223457190681
"5722",-0.057030596413093
"5724",-0.05807546246749
"5726",-0.0529201334933127
"5731",-0.0581886816706403
"5735",-0.0621839002605022
"5752",-0.0550076993619557
"5758",-0.048613712105595
"5759",-0.0602449396156411
"5779",-0.0567744145070572
"5781",-0.0600200526225588
"5792",-0.0563157996708687
"5802",-0.0573777066347332
"5811",-0.0607410680733705
"5815",-0.0557405285988246
"5824",-0.0559044014776104
"5829-R",-0.0534944597815807
"5830-1",-0.0629337305656097
"5830-2",-0.0595992330562757
"5838",-0.0507202566568039
"5842",-0.0566395771799087
"5846",-0.0553929274344792
"5866",-0.0552731580955401
"5897",-0.0516832055738709
"5907",-0.0569285628044663
"5942-R",-0.0548338788625952
"59459",-0.057766986043449
"5950",-0.0596963101138346
"5963",-0.0553283227653934
"5968",-0.0438925451729823
"5993-BU",-0.0353987106645681
"6001",-0.0545947082831306
"6004",-0.0557444372811885
"6041",-0.0541209707661815
"6043-R",-0.0565668884522633
"6058",-0.0497716934029449
"6062",-0.0525913281012407
"6071",-0.0543328231944147
"6073",-0.0557735499977571
"6074",-0.0563480923508342
"6076",-0.0455692701771036
"6101",-0.0415356476174253
"6132",-0.0547424136968669
"6145",-0.0599891089996173
"6147",-0.0510468501714814
"6190",-0.0562729625635078
"6193",-0.0548301897357279
"62",-0.05154069586277
"6231-R",-0.0538991174235629
"6240",-0.0569495229459638
"6250",-0.0501916275980314
"6274",-0.0581896097269155
"6288-1-R",-0.0530183009073408
"6288-2",-0.0585444213392814
"6293",-0.0532740991771223
"6295-R",-0.0618658661858502
"63",-0.0589616998735103
"6300",-0.0514783859237232
"6308",-0.0528643312608906
"6312",-0.0556516628564793
"6331",-0.0537149411536336
"6357",-0.0560581638324279
"6359",-0.058132015793899
"6379",-0.0545491708362968
"6411",-0.0612580511169786
"6412",-0.0565773861404979
"6419",-0.0597756807416595
"6434",-0.0581274263308288
"6452",-0.0477230478043525
"6469",-0.0602358130853965
"6487-R",-0.0513489586996885
"70804",-0.0533215271206551
"70806",-0.0511946768924028
"70809",-0.0559206025153966
"70835",-0.053177361577191
"70885",-0.0477145553298007
"70917",-0.0579765747833809
"70949",-0.0413593744305098
"70963",-0.052368900749768
"70971",-0.0492716051212985
"70984",-0.0538008282300914
"71018",-0.0562286650247545
"71021",-0.055837422853742
"71080",-0.0596313479255081
"71082",-0.0481970623518413
"71118",-0.0542171391590096
"71135",-0.0617982761575227
"71192",-0.0602106983895099
"71276",-0.0547484038176618
"71288",-0.0587609487940451
"71293",-0.0579202908792738
"71304",-0.0590249470705488
"71308",-0.0477819545685129
"71372",-0.0481216347107313
"71393",-0.058285830437199
"71399",-0.0583302873416695
"71421",-0.0579688434590709
"71437",-0.0598776133280598
"71533",-0.0586244341692336
"71535",-0.060181840077755
"71564",-0.0580028979317288
"7402",-0.0582292344366596
"7403",-0.0499314250186436
"7404",-0.0571335441811411
"7405",-0.0539782067494137
"7406",-0.046546467836397
"7407",-0.0600751954407325
"7410",-0.0539828027315427
"7411",-0.0531108747686985
"7412",-0.0562189936940074
"7414",-0.0581142099014126
"7416",-0.052267179222507
"7422",-0.0522402005433898
"7424",-0.0530766643663124
"7425",-0.0491913727192266
"7427",-0.0522996054988883
"7431",-0.0549044182923853
"7432",-0.0571997781774296
"7434",-0.0552504407979602
"7435",-0.0572123626108874
"7436",-0.0553416862054278
"7438",-0.053727774151473
"7440",-0.0559547221176408
"74401",0.11002775056718
"7443",-0.0574760379905751
"74445",0.100085308222015
"7447",-0.0539067350221547
"74475",0.102909369963492
"7449",-0.0591369484402272
"74499",0.100035229386213
"74500",0.0967771384119883
"74513",0.0957808455826701
"7453",-0.0524557113585412
"7455",-0.0544731779384901
"74576",0.0967881182711354
"7458",-0.057778279574784
"74583",0.0947198616889801
"7460",-0.0421240956855726
"74603",0.0967642873500286
"76002",0.102133737766721
"76045",0.097900243455523
"76083",0.0971821888116169
"76119",0.0943301082642312
"76158",0.0984254235364423
"76163",0.102471786776717
"76185",0.0989678838432712
"76242",0.0838217948070542
"76334",0.0963935732808459
"76411",0.0956744732994746
"76412",0.0973690418890815
"76430",0.0938684362581985
"76431",0.0932161432056291
"76442",0.0945049807479435
"76496",0.103740158458018
"76541",0.0977369319970611
"76546",0.0974947479632418
"76584",0.102942796416418
"76590",0.0951481559701955
"76591",0.0920807942292711
"76597",0.0999627188831082
"76617",0.0986315736525385
"76622",0.0960374513330029
"76655",0.0959013477465278
"76658",0.0951780646238229
"76669",0.0943186207678468
"76681",0.0966994390713936
"76692",0.0967165924162882
"80424",0.101805023486747
"80427",0.097370464766596
"80433",0.0988228618568245
"80437",0.0999669755348831
"80459",0.0489637939376811
"80466",0.0880835381380325
"80467",0.0965391052344235
"80472",0.0957218790570916
"80482",0.0987295296338461
"86",-0.049260028606412
"93607",-0.0545628294731898
"93615",-0.055869212256196
"93616",-0.0452699049585335
"93632",-0.0608910153522239
"93663",-0.055111790095298
"93668",-0.0524561225253127
"93673",-0.0524470173750742
"93681",-0.0595917230612659
"93685",-0.0527650660413345
"93698",-0.0373667461429461
"93703",-0.0595434391531796
"93710",-0.041063436598395
"93716",-0.0557124390064203
"93727",-0.0574263262124286
"93729",-0.0548126186120372
"93738",-0.0533370683299567
"93741",-0.059714943217236
"93742",-0.0487806046587582
"93753",-0.0564165689110167
"93756",-0.0541360796386451
"93761",-0.0535090205084238
"93773",-0.0537224212147805
"93778",-0.0561811141944844
"93793",-0.0531466446798068
"93794",-0.0578541828812688
"93813",-0.0554870072901414
"93827",-0.0519038074900851
"93865",-0.051982195367876
"93869",-0.0542767324510953
"93871",-0.0545242432046055
"93892",-0.0541540996831399
"93895",-0.0560178754255999
"93903",-0.0543019997535532
"93934",-0.0510914139436258
"93935",-0.055947517402256
"93960",-0.0547484521072609
"93968",-0.0559717611344517
"93983",-0.0523099088817167
"94012",-0.0518011576980452
