fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
54363,TH-Ext-2023-005,115.48,9105_2017_54363_M,PUNTLEDGE_RIVER_fall,2017,2,P1,G6,21.51,as-is,P1,B6,10,0,,
240407,TH-Ext-2023-011,115.3,9105_2021_240407_M,PUNTLEDGE_RIVER_fall,2021,3,P1,H6,22.75,as-is,P1,C6,10,0,,
54364,TH-Ext-2023-005,115.29,9105_2017_54364_M,PUNTLEDGE_RIVER_fall,2017,2,P1,A7,16.75,as-is,P1,D6,10,0,,
219624,TH-Ext-2023-011,115.05,100_2021_219624_M,QUALICUM_RIVER,2021,3,P1,B7,21.61,as-is,P1,E6,10,0,,
6004,TH-Ext-2023-006,113.08,100_2018_6004_M,QUALICUM_RIVER,2018,3,P1,C7,20.47,as-is,P1,F6,10,0,,
1346,TH-Ext-2023-006,112.91,9105_2018_1346_M,PUNTLEDGE_RIVER_fall,2018,3,P1,D7,19.25,as-is,P1,G6,10,0,,
240206,TH-Ext-2023-011,112.63,9105_2021_240206_M,PUNTLEDGE_RIVER_fall,2021,2,P1,E7,26.66,as-is,P1,H6,10,0,,
240425,TH-Ext-2023-011,112.25,9105_2021_240425_M,PUNTLEDGE_RIVER_fall,2021,2,P1,F7,21.95,as-is,P1,A7,10,0,,
7422,TH-Ext-2023-004,111.99,100_2016_7422_M,QUALICUM_RIVER,2016,2,P1,G7,22.81,as-is,P1,B7,10,0,,
223686,TH-Ext-2023-010,110.98,9107_2021_223686_M,CHILLIWACK_RIVER_fall,2021,2,P1,H7,23.92,as-is,P1,C7,10,0,,
219279,TH-Ext-2023-011,110.96,100_2021_219279_M,QUALICUM_RIVER,2021,4,P1,A8,19.37,as-is,P1,D7,10,0,,
71304,TH-Ext-2023-010,110.92,100_2020_71304_M,QUALICUM_RIVER,2020,3,P1,B8,19.95,as-is,P1,E7,10,0,,
5838,TH-Ext-2023-005,110.84,100_2017_5838_M,QUALICUM_RIVER,2017,3,P1,C8,17.95,as-is,P1,F7,10,0,,
240310,TH-Ext-2023-011,110.62,9105_2021_240310_M,PUNTLEDGE_RIVER_fall,2021,2,P1,D8,23,as-is,P1,G7,10,0,,
93793,TH-Ext-2023-009,110.51,9105_2020_93793_M,PUNTLEDGE_RIVER_fall,2020,3,P1,E8,21.63,as-is,P1,H7,10,0,,
6074,TH-Ext-2023-007,110.38,100_2018_6074_M,QUALICUM_RIVER,2018,3,P1,F8,23.37,as-is,P1,A8,10,0,,
223803,TH-Ext-2023-010,108.21,9107_2021_223803_M,CHILLIWACK_RIVER_fall,2021,3,P1,G8,23.9,as-is,P1,B8,10,0,,
219568,TH-Ext-2023-011,107.59,100_2021_219568_M,QUALICUM_RIVER,2021,4,P1,H8,20.31,as-is,P1,C8,10,0,,
219283,TH-Ext-2023-011,107.59,100_2021_219283_M,QUALICUM_RIVER,2021,4,P1,A9,18.58,as-is,P1,D8,10,0,,
240030,TH-Ext-2023-010,107.56,9105_2021_240030_M,PUNTLEDGE_RIVER_fall,2021,3,P1,B9,18.42,as-is,P1,E8,10,0,,
240236,TH-Ext-2023-011,106.89,9105_2021_240236_M,PUNTLEDGE_RIVER_fall,2021,2,P1,C9,23.92,as-is,P1,F8,10,0,,
5759,TH-Ext-2023-004,106.78,100_2016_5759_M,QUALICUM_RIVER,2016,3,P1,D9,21.38,as-is,P1,G8,10,0,,
240363,TH-Ext-2023-011,106.22,9105_2021_240363_M,PUNTLEDGE_RIVER_fall,2021,2,P1,E9,24.68,as-is,P1,H8,10,0,,
223016,TH-Ext-2023-010,105.68,9107_2021_223016_M,CHILLIWACK_RIVER_fall,2021,4,P1,F9,23.88,as-is,P1,A9,10,0,,
240221,TH-Ext-2023-011,104.71,9105_2021_240221_M,PUNTLEDGE_RIVER_fall,2021,4,P1,H9,23.08,as-is,P1,B9,10,0,,
18483,TH-Ext-2023-004,104.43,9107_2017_18483_M,CHILLIWACK_RIVER_fall,2017,2,P1,A10,17.11,as-is,P1,C9,10,0,,
223320,TH-Ext-2023-010,104.25,9107_2021_223320_M,CHILLIWACK_RIVER_fall,2021,3,P1,B10,17.23,as-is,P1,D9,10,0,,
223700,TH-Ext-2023-010,103.55,9107_2021_223700_M,CHILLIWACK_RIVER_fall,2021,4,P1,C10,20.67,as-is,P1,E9,10,0,,
7438,TH-Ext-2023-004,101.7,100_2016_7438_M,QUALICUM_RIVER,2016,2,P1,D10,17.16,as-is,P1,F9,10,0,,
71080,TH-Ext-2023-010,101.69,100_2020_71080_M,QUALICUM_RIVER,2020,3,P1,E10,28.75,as-is,P1,G9,10,0,,
71308,TH-Ext-2023-010,101.61,100_2020_71308_M,QUALICUM_RIVER,2020,4,P1,F10,24.57,as-is,P1,H9,10,0,,
71293,TH-Ext-2023-010,101.03,100_2020_71293_M,QUALICUM_RIVER,2020,3,P1,G10,27.29,as-is,P1,A10,10,0,,
80437,TH-Ext-2023-006,100.51,9107_2018_80437_M,CHILLIWACK_RIVER_fall,2018,4,P1,A11,24.38,as-is,P1,B10,10,0,,
223768,TH-Ext-2023-010,100.44,9107_2021_223768_M,CHILLIWACK_RIVER_fall,2021,2,P1,B11,26.89,as-is,P1,C10,10,0,,
240018,TH-Ext-2023-010,100.28,9105_2021_240018_M,PUNTLEDGE_RIVER_fall,2021,4,P1,C11,28.23,as-is,P1,D10,10,0,,
