"fishID","pop","year","age","name","haplotype"
"1290","PUNTLEDGE_RIVER_fall",2018,4,"Hap2","4"
"1292","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1292","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","2"
"1296","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","3"
"1296","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","2"
"1304","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1304","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","2"
"1310","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1310","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","3"
"1317","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1317","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","1"
"1318","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","3"
"1318","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","2"
"1325","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1325","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","2"
"1344","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","4"
"1344","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","1"
"1346","PUNTLEDGE_RIVER_fall",2018,3,"Hap1","3"
"1346","PUNTLEDGE_RIVER_fall",2018,3,"Hap2","2"
"1363","PUNTLEDGE_RIVER_fall",2017,4,"Hap1","4"
"1363","PUNTLEDGE_RIVER_fall",2017,4,"Hap2","2"
"1366","PUNTLEDGE_RIVER_fall",2018,3,"Hap1","2"
"1366","PUNTLEDGE_RIVER_fall",2018,3,"Hap2","3"
"1369","PUNTLEDGE_RIVER_fall",2018,3,"Hap1","1"
"1369","PUNTLEDGE_RIVER_fall",2018,3,"Hap2","2"
"1379","PUNTLEDGE_RIVER_fall",2017,4,"Hap1","2"
"1379","PUNTLEDGE_RIVER_fall",2017,4,"Hap2","2"
"1383","PUNTLEDGE_RIVER_fall",2018,2,"Hap1","2"
"1383","PUNTLEDGE_RIVER_fall",2018,2,"Hap2","2"
"1390","PUNTLEDGE_RIVER_fall",2017,3,"Hap1","2"
"1390","PUNTLEDGE_RIVER_fall",2017,3,"Hap2","4"
"1392","PUNTLEDGE_RIVER_fall",2017,4,"Hap1","2"
"1392","PUNTLEDGE_RIVER_fall",2017,4,"Hap2","3"
"1394","PUNTLEDGE_RIVER_fall",2018,3,"Hap1","2"
"1394","PUNTLEDGE_RIVER_fall",2018,3,"Hap2","1"
"1397-1","PUNTLEDGE_RIVER_fall",2017,4,"Hap1","2"
"1397-1","PUNTLEDGE_RIVER_fall",2017,4,"Hap2","1"
"1397-2","PUNTLEDGE_RIVER_fall",2018,2,"Hap1","2"
"1397-2","PUNTLEDGE_RIVER_fall",2018,2,"Hap2","1"
